timestamp,ecg_value
0.0232,690
0.025,691
0.0277,689
0.0277,690
0.0277,690
0.0277,691
0.0277,689
0.0277,690
0.0277,691
0.0277,690
0.0297,691
0.0297,690
0.0297,691
0.0297,691
0.0307,690
0.0307,690
0.0333,690
0.0333,690
0.0361,691
0.0361,690
0.0361,691
0.0391,690
0.0391,690
0.0391,690
0.0391,690
0.0391,691
0.0391,690
0.0391,690
0.0391,690
0.0391,690
0.0391,690
0.0391,689
0.0424,691
0.0424,690
0.0424,689
0.0424,690
0.0424,690
0.0441,690
0.0441,689
0.0451,689
0.0451,689
0.0451,689
0.0451,689
0.0451,689
0.0451,690
0.0451,689
0.0451,690
0.0451,689
0.0451,690
0.0451,690
0.0451,689
0.0451,688
0.0451,689
0.0451,689
0.0451,689
0.0451,689
0.0451,688
0.0451,688
0.0451,687
0.0451,686
0.0451,686
0.0451,684
0.0451,677
0.0451,661
0.0451,641
0.0451,620
0.0451,600
0.0451,584
0.0451,576
0.0451,572
0.0451,565
0.0451,560
0.0451,557
0.0451,558
0.0451,565
0.0451,574
0.0451,585
0.0451,595
0.0451,601
0.0451,602
0.0451,600
0.0451,597
0.0451,596
0.0451,596
0.0451,600
0.0451,605
0.0451,607
0.0451,604
0.0451,595
0.0451,583
0.0451,568
0.0451,555
0.0451,547
0.0451,544
0.0451,545
0.0451,547
0.0451,550
0.0451,554
0.0451,559
0.0451,564
0.0451,568
0.0451,571
0.0599,574
0.0599,581
0.0599,587
0.0606,593
0.0606,594
0.0606,592
0.0606,586
0.0606,581
0.0606,577
0.0606,574
0.0606,569
0.0606,563
0.0606,553
0.0606,542
0.0606,532
0.0606,523
0.0606,517
0.0606,512
0.0606,505
0.0606,499
0.0606,492
0.0606,485
0.0606,481
0.0606,481
0.0606,483
0.0606,486
0.0606,490
0.0606,492
0.0606,491
0.0606,487
0.0606,485
0.0606,487
0.0606,493
0.0606,500
0.0606,505
0.0606,504
0.0606,500
0.0606,494
0.0606,490
0.0606,489
0.0606,491
0.0606,495
0.0606,502
0.0606,508
0.0606,510
0.0606,511
0.0606,515
0.0606,517
0.0606,520
0.0681,523
0.0681,527
0.0681,530
0.0681,529
0.0681,524
0.0681,519
0.0681,514
0.0681,509
0.0681,505
0.0681,504
