timestamp,ecg_value
0.0,201
0.0,208
0.0,206
0.0,197
0.0,191
0.0,193
0.0,194
0.0,193
0.0,197
0.0,206
0.0,207
0.0,200
0.0,191
0.0,193
0.0,193
0.0,194
0.0,194
0.0,204
0.0,208
0.0,204
0.0,193
0.0,192
0.0,194
0.0,194
0.0,193
0.0051,201
0.0051,207
0.0051,206
0.0051,196
0.0051,191
0.0051,193
0.0051,194
0.0051,194
0.0051,197
0.0051,206
0.0051,207
0.0051,200
0.0051,191
0.0051,193
0.0051,194
0.0051,194
0.0051,194
0.0051,204
0.0051,208
0.0051,203
0.0051,192
0.0051,192
0.0051,193
0.0051,194
0.0051,193
0.0051,201
0.0051,207
0.0051,206
0.0051,196
0.0051,191
0.0051,193
0.0051,194
0.0051,193
0.0051,197
0.0051,206
0.0051,207
0.0051,200
0.0051,190
0.0051,192
0.0051,193
0.0051,194
0.0051,194
0.0051,204
0.0051,207
0.0051,203
0.0051,192
0.0051,191
0.0051,193
0.0051,194
0.0051,193
0.0051,201
0.0051,208
0.0051,206
0.0051,196
0.0051,191
0.0051,193
0.0051,194
0.0051,193
0.0051,197
0.0051,206
0.0051,207
0.0051,200
0.0051,190
0.0051,193
0.0051,194
0.0135,194
0.0135,194
0.0135,204
0.0135,208
0.0135,204
0.0135,192
0.0135,192
0.0135,194
0.0135,194
0.0135,194
0.0135,201
0.0135,207
0.0173,206
0.0176,196
0.0176,191
0.0176,193
0.0176,194
0.0176,193
0.0186,197
0.0186,206
0.0186,207
0.0192,200
0.0192,190
0.0192,193
0.0192,194
0.0204,194
0.0204,194
0.0204,204
0.0204,208
0.0204,203
0.0204,192
0.0215,191
0.0215,193
0.0215,194
0.0215,193
0.0215,201
0.0215,207
0.0215,206
0.0215,196
0.0215,191
0.023,193
0.023,194
0.023,194
0.023,197
0.023,206
0.023,207
0.023,200
0.023,190
0.023,192
0.023,193
0.0248,194
0.0248,194
0.0248,204
0.0248,208
0.0248,203
0.0248,192
0.0248,192
0.0248,193
0.0248,194
0.0266,193
0.0266,201
0.0266,208
0.0266,206
0.0266,196
0.0289,191
0.0306,193
0.0306,194
0.0306,193
0.0317,197
0.0317,206
0.0317,207
0.0317,200
0.0317,190
0.0332,192
0.0332,193
0.0332,194
0.0332,194
0.0332,204
0.0332,208
0.0332,203
0.0332,192
0.0348,192
0.0348,193
0.0348,194
