timestamp,ecg_value
0.0,296
0.0,282
0.0,269
0.0,257
0.0,247
0.0,239
0.002,232
0.002,227
0.002,224
0.002,220
0.002,217
0.002,214
0.002,210
0.002,207
0.002,205
0.002,204
0.002,205
0.002,205
0.002,204
0.002,203
0.002,202
0.002,200
0.002,199
0.004,199
0.004,200
0.004,201
0.004,202
0.004,201
0.004,200
0.004,199
0.004,199
0.004,198
0.004,199
0.004,201
0.004,202
0.004,202
0.004,202
0.006,200
0.006,199
0.006,199
0.006,200
0.006,201
0.006,202
0.006,203
0.006,203
0.006,202
0.006,201
0.006,200
0.006,200
0.006,202
0.006,203
0.006,204
0.006,204
0.006,203
0.008,202
0.008,201
0.008,201
0.008,202
0.008,203
0.008,204
0.008,204
0.008,204
0.008,202
0.008,202
0.008,201
0.008,202
0.008,203
0.008,204
0.008,204
0.008,204
0.008,203
0.01,202
0.01,202
0.01,202
0.01,203
0.01,205
0.01,205
0.01,205
0.01,204
0.01,203
0.01,202
0.01,202
0.01,203
0.01,205
0.01,205
0.01,205
0.0121,205
0.0121,203
0.0121,202
0.0121,202
0.0121,202
0.0121,204
0.0121,205
0.0121,205
0.0121,205
0.0121,203
0.0121,202
0.0121,202
0.0121,202
0.0121,203
0.0121,204
0.0121,205
0.0141,205
0.0141,203
0.0141,202
0.0141,202
0.0141,201
0.0141,202
0.0141,204
0.0141,204
0.0141,205
0.0141,204
0.0141,202
0.0141,202
0.0141,201
0.0141,201
0.0141,203
0.0158,204
0.0158,204
0.0158,204
0.0158,203
0.0158,201
0.0158,201
0.0158,201
0.0173,202
0.0173,203
0.0173,204
0.0173,204
0.0173,203
0.0173,201
0.0173,201
0.0173,201
0.0173,201
0.019,203
0.0193,203
0.0197,203
0.0197,203
0.0197,201
0.0197,201
0.0197,200
0.0197,200
0.0197,202
0.0221,203
0.0221,203
0.0221,203
0.0232,202
0.0232,200
0.0232,200
0.0238,200
0.0238,201
0.0238,202
0.0238,203
0.0238,203
0.0238,202
0.0238,200
0.0238,200
0.0271,199
0.0293,200
0.0293,202
0.0303,202
0.0303,202
0.0303,202
0.0312,200
0.0312,199
0.0312,199
0.0312,199
0.0312,201
0.0312,202
0.0312,202
0.0312,202
0.0333,201
0.0333,199
0.0333,199
0.0333,199
0.0333,200
0.0333,202
0.0333,202
0.0333,202
0.0333,201
0.0333,199
0.0333,199
0.0333,198
0.0333,199
0.0333,201
0.0353,201
0.0353,202
0.0353,201
0.0353,199
0.0353,199
0.0353,198
0.0353,199
0.0353,200
0.0353,201
0.0353,201
0.0353,201
0.0353,200
0.0353,199
0.0353,198
0.0353,198
0.0373,199
0.0373,201
0.0373,201
0.0373,201
0.0373,200
0.0373,199
0.0373,198
0.0373,198
0.0373,199
0.0373,200
0.0373,201
0.0373,201
0.0373,200
0.0373,199
0.0393,198
0.0393,198
0.0393,198
0.0393,199
0.0393,200
0.0393,201
0.0393,201
0.0393,199
0.0393,198
0.0393,198
0.0393,198
0.0393,199
0.0393,200
0.0393,200
0.0393,200
0.0393,200
0.0393,198
0.0413,197
0.0413,197
0.0413,198
0.0413,200
0.0413,200
0.0413,200
0.0413,200
0.0413,198
0.0413,198
0.0413,197
0.0413,197
0.0413,199
0.0413,200
0.0413,200
0.0413,200
0.0413,199
0.0413,198
0.0413,197
0.0433,197
0.0433,198
0.0433,200
0.0433,200
0.0433,200
0.0433,199
0.0433,198
0.0433,197
0.0433,197
0.0451,198
0.0451,199
0.0451,200
